OP_UNIQUE_CARRIER,ORIGIN,DEST,CANCELLED,DISTANCE_GROUP
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,IAD,LAX,0.00,10
AA,IAD,LAX,1.00,10
AA,IAD,LAX,1.00,10
AA,IAD,LAX,0.00,10
AA,IAD,LAX,0.00,10
AA,IAD,LAX,0.00,10
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,1.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,MCO,DCA,0.00,4
AA,DCA,ORD,1.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,1.00,3
