Date,Open,High,Low,Close,Volume
08/13/2020,"28.60","29.58","28.49","28.70","15,767,700"
08/12/2020,"30.04","30.28","28.36","29.09","26,623,869"
08/11/2020,"30.79","30.82","29.43","29.64","37,292,961"
08/10/2020,"27.46","29.41","27.38","29.34","34,084,898"
08/07/2020,"26.70","27.20","26.47","27.18","15,254,480"
08/06/2020,"26.90","27.30","26.13","27.08","30,682,490"
08/05/2020,"26.22","27.04","25.75","26.47","29,661,100"
08/04/2020,"25.45","26.22","25.31","25.67","17,216,230"
08/03/2020,"24.85","25.48","24.38","25.20","16,590,449"
07/31/2020,"24.80","25.01","24.43","24.97","17,116,670"
07/30/2020,"25.25","25.38","24.82","24.94","16,843,990"
07/29/2020,"26.02","26.19","25.38","25.72","14,459,720"
07/28/2020,"25.35","26.30","25.34","25.94","18,615,580"
07/27/2020,"25.95","26.16","25.37","25.50","18,849,820"
07/24/2020,"26.48","26.64","25.88","25.96","16,774,949"
07/23/2020,"26.00","27.70","25.78","26.78","28,110,721"
07/22/2020,"26.23","26.82","26.11","26.25","16,710,840"
07/21/2020,"26.50","26.95","26.35","26.43","20,958,619"
07/20/2020,"27.00","27.42","26.03","26.22","21,574,480"
07/17/2020,"27.33","27.73","26.94","27.05","20,982,490"
07/16/2020,"27.56","27.95","27.04","27.26","25,914,240"
07/15/2020,"27.50","28.88","26.92","28.60","47,726,621"
07/14/2020,"25.64","26.75","25.46","26.11","42,273,281"
07/13/2020,"27.23","27.62","26.31","26.82","34,133,047"
07/10/2020,"25.30","27.26","25.15","27.09","31,349,430"
07/09/2020,"26.79","26.92","25.22","25.65","31,219,840"
07/08/2020,"26.65","27.28","26.20","27.01","27,214,061"
07/07/2020,"27.86","27.95","26.86","27.01","24,598,051"
07/06/2020,"28.24","28.63","27.28","28.44","27,345,160"
07/02/2020,"28.54","28.73","27.60","27.72","29,240,141"
07/01/2020,"29.02","29.85","27.49","27.70","39,305,273"
06/30/2020,"28.35","28.66","27.60","28.05","27,054,770"
